timestamp,etiqueta,tiempo_segundos
2025-05-08 20:16:43,Generación de señal,0.519333
2025-05-08 20:16:54,Generación de señal,0.353727
2025-05-08 20:17:05,Generación de señal,0.669777
2025-05-08 20:17:16,Generación de señal,0.330506
2025-05-08 20:17:27,Generación de señal,0.328422
2025-05-09 00:01:31,Generación de señal,0.726805
2025-05-09 00:01:34,Ejecución de orden,0.520611
2025-05-09 00:01:36,Notificación Telegram,1.890824
2025-05-09 00:01:46,Generación de señal,0.668285
2025-05-09 00:06:47,Generación de señal,0.694961
2025-05-09 00:11:32,Generación de señal,0.423798
2025-05-09 19:04:10,Generación de señal,1.005661
2025-05-09 19:04:12,Ejecución de orden,0.389545
2025-05-09 19:04:13,Notificación Telegram,1.026065
2025-05-09 19:10:30,Generación de señal,0.980716
2025-05-09 19:10:31,Ejecución de orden,0.406719
2025-05-09 19:12:57,Generación de señal,0.450639
2025-05-09 19:13:00,Ejecución de orden,0.880874
2025-05-09 19:13:01,Notificación Telegram,0.952395
2025-05-09 19:13:12,Generación de señal,0.675633
2025-05-09 19:13:23,Generación de señal,0.372965
2025-05-09 19:36:31,Generación de señal,1.026543
2025-05-09 19:51:04,Generación de señal,0.431652
2025-05-09 19:51:06,Ejecución de orden,0.509916
2025-05-09 19:51:07,Notificación Telegram,1.127532
2025-05-09 19:51:17,Generación de señal,0.389850
2025-05-09 19:54:22,Generación de señal,0.636147
2025-05-09 19:55:38,Generación de señal,0.986762
2025-05-09 19:55:52,Generación de señal,0.392795
2025-05-09 19:56:05,Generación de señal,0.337859
2025-05-09 19:56:07,Ejecución de orden,0.546548
2025-05-09 19:56:08,Notificación Telegram,1.128048
2025-05-09 19:56:33,Generación de señal,0.441043
2025-05-09 19:56:44,Generación de señal,0.493402
2025-05-09 20:13:18,Generación de señal,0.960407
2025-05-09 20:13:20,Ejecución de orden,0.323491
2025-05-09 20:13:21,Notificación Telegram,1.024023
2025-05-09 20:13:34,Generación de señal,0.488940
2025-05-09 20:13:45,Generación de señal,0.399654
2025-05-09 20:14:11,Generación de señal,0.559184
2025-05-09 20:14:22,Generación de señal,0.383681
2025-05-10 01:13:22,Generación de señal,0.332992
2025-05-10 01:13:23,Ejecución de orden,0.417777
2025-05-10 01:13:24,Notificación Telegram,1.024382
2025-05-10 12:36:48,Generación de señal,0.340894
2025-05-10 12:36:51,Ejecución de orden,1.163892
2025-05-10 12:36:52,Notificación Telegram,0.878720
2025-05-10 12:37:02,Generación de señal,0.339245
2025-05-10 12:37:13,Generación de señal,0.357064
2025-05-10 12:37:24,Generación de señal,0.345360
2025-05-10 12:37:35,Generación de señal,0.335118
2025-05-10 12:38:02,Generación de señal,0.513217
2025-05-10 12:38:13,Generación de señal,0.343303
2025-05-10 12:38:24,Generación de señal,0.338148
2025-05-10 12:38:35,Generación de señal,0.359114
2025-05-10 12:38:46,Generación de señal,0.363114
2025-05-10 12:38:57,Generación de señal,0.366615
2025-05-10 12:39:08,Generación de señal,0.353532
2025-05-10 15:02:07,Generación de señal,0.437697
