timestamp,open,high,low,close,volume
2021-12-01 03:00:00,213.89,213.96,212.71,212.84,7585.06
2021-12-01 03:05:00,212.83,213.34,212.69,212.85,3924.17
2021-12-01 03:10:00,212.86,213.51,212.5,213.37,4401.03
2021-12-01 03:15:00,213.38,213.89,213.26,213.88,2231.95
2021-12-01 03:20:00,213.88,213.94,213.13,213.18,2615.2
2021-12-01 03:25:00,213.2,213.48,212.98,213.23,2517.15
2021-12-01 03:30:00,213.22,213.3,212.52,212.57,2345.59
2021-12-01 03:35:00,212.58,213.52,212.38,213.51,5117.57
2021-12-01 03:40:00,213.49,214.1,213.34,213.8,2919.32
2021-12-01 03:45:00,213.8,213.97,213.17,213.86,2385.19
2021-12-01 03:50:00,213.85,214.78,213.78,214.42,9396.84
2021-12-01 03:55:00,214.43,215.0,214.31,214.93,5998.82
2021-12-01 04:00:00,214.92,214.96,214.27,214.4,5788.66
2021-12-01 04:05:00,214.39,215.47,214.39,215.31,5139.35
2021-12-01 04:10:00,215.3,215.69,215.28,215.65,3833.07
2021-12-01 04:15:00,215.66,215.98,215.09,215.83,5861.9
2021-12-01 04:20:00,215.84,216.43,215.82,216.08,5946.54
2021-12-01 04:25:00,216.07,216.21,215.17,215.2,5653.42
2021-12-01 04:30:00,215.19,216.07,215.15,215.37,9597.64
2021-12-01 04:35:00,215.29,215.97,215.29,215.83,2631.11
2021-12-01 04:40:00,215.79,215.81,215.0,215.01,2961.19
2021-12-01 04:45:00,215.04,215.06,214.4,214.59,6038.83
2021-12-01 04:50:00,214.56,215.26,214.45,215.26,3318.33
2021-12-01 04:55:00,215.27,216.0,215.09,215.77,4826.5
2021-12-01 05:00:00,215.8,216.04,215.0,215.11,4649.69
2021-12-01 05:05:00,215.11,215.14,214.49,214.97,2827.11
2021-12-01 05:10:00,214.98,216.1,214.97,216.02,4582.13
2021-12-01 05:15:00,216.04,216.95,216.0,216.83,7360.36
2021-12-01 05:20:00,216.82,217.38,216.62,217.23,6849.21
2021-12-01 05:25:00,217.22,217.82,216.76,217.67,8208.59
2021-12-01 05:30:00,217.67,217.7,216.79,216.89,6956.84
2021-12-01 05:35:00,216.9,216.92,216.33,216.67,3716.98
2021-12-01 05:40:00,216.64,217.5,216.62,217.12,4023.06
2021-12-01 05:45:00,217.06,217.36,216.19,216.28,5865.97
2021-12-01 05:50:00,216.29,216.49,215.81,216.0,3024.14
2021-12-01 05:55:00,215.99,215.99,215.08,215.37,5050.82
2021-12-01 06:00:00,215.36,215.59,214.92,215.17,5226.97
