timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1743616200000,86448.29,86522.99,86350.0,86505.86,95.10518,1743616499999,8218073.7378859,15311,45.29485,3914220.1105968,0
1743616500000,86505.87,86727.17,86505.87,86615.33,83.333,1743616799999,7220148.6724138,13241,29.49506,2555661.6215122,0
1743616800000,86615.33,86751.79,86576.0,86580.44,76.35721,1743617099999,6615644.6319834,18331,36.60128,3171202.6766311,0
1743617100000,86580.43,86585.71,86407.54,86478.06,81.95696,1743617399999,7086593.2468898,16594,40.70483,3519401.3632898,0
1743617400000,86478.06,86586.7,86389.81,86518.95,72.83336,1743617699999,6298672.5057664,12753,40.88377,3535435.2553963,0
1743617700000,86518.94,86595.5,86415.6,86435.4,52.41129,1743617999999,4533257.3207114,11468,16.21582,1402428.3358794,0
1743618000000,86435.4,86523.95,86391.01,86409.74,40.52188,1743618299999,3503415.2604625,8576,27.77587,2401269.1440403,0
1743618300000,86409.73,86503.36,86236.46,86236.46,84.93649,1743618599999,7335499.0485499,13584,24.39173,2106991.3301658,0
1743618600000,86236.46,86360.0,86212.4,86341.72,54.77674,1743618899999,4727171.851419,15095,30.35685,2619588.0054676,0
1743618900000,86341.71,86548.07,86309.58,86526.72,66.02595,1743619199999,5708323.5223012,15137,40.02572,3460275.0787593,0
1743619200000,86526.72,86660.0,86516.0,86580.56,55.86151,1743619499999,4836584.1214391,12859,20.38241,1764635.3860254,0
1743619500000,86580.57,86620.0,86487.93,86615.92,31.5073,1743619799999,2727706.8206984,10526,16.56143,1433622.1503699,0
1743619800000,86615.93,86617.76,86470.0,86534.1,36.55629,1743620099999,3163113.112441,9283,14.78767,1279430.2797053,0
1743620100000,86534.09,86534.09,86286.02,86286.02,31.48792,1743620399999,2720125.1573532,8541,10.61107,916610.2379574,0
1743620400000,86286.03,86452.94,86286.03,86400.5,67.05989,1743620699999,5792702.2524006,17169,45.65764,3943647.2174674,0
1743620700000,86400.5,86410.52,86290.0,86330.89,44.90811,1743620999999,3878007.2628094,13033,17.84508,1541007.3578494,0
1743621000000,86330.88,86361.04,86249.6,86271.73,74.06891,1743621299999,6390953.6682856,13710,21.09072,1819942.3721643,0
1743621300000,86271.72,86342.0,86215.95,86246.95,64.88593,1743621599999,5597995.7261141,9806,20.32525,1753537.9252443,0
1743621600000,86246.94,86374.63,86186.19,86348.01,71.02371,1743621899999,6126258.0012461,13921,36.10417,3114567.5561452,0
