timestamp,open,high,low,close,volume
2025-02-15 03:00:00,2.8236,2.8245,2.8188,2.8188,169740.0
2025-02-15 03:01:00,2.8188,2.8222,2.8176,2.8179,99052.0
2025-02-15 03:02:00,2.8179,2.8193,2.8151,2.8186,82195.0
2025-02-15 03:03:00,2.8185,2.8214,2.8172,2.821,421014.0
2025-02-15 03:04:00,2.821,2.8238,2.8193,2.8193,198286.0
2025-02-15 03:05:00,2.8193,2.8225,2.8182,2.8192,138296.0
2025-02-15 03:06:00,2.8192,2.825,2.8185,2.8249,210823.0
2025-02-15 03:07:00,2.825,2.829,2.8222,2.8222,188769.0
2025-02-15 03:08:00,2.8221,2.8228,2.8186,2.8214,164070.0
2025-02-15 03:09:00,2.8214,2.8214,2.818,2.8209,122188.0
2025-02-15 03:10:00,2.8209,2.8227,2.8172,2.821,125229.0
2025-02-15 03:11:00,2.8211,2.8238,2.821,2.8235,106620.0
2025-02-15 03:12:00,2.8234,2.8234,2.8177,2.8177,101860.0
2025-02-15 03:13:00,2.8178,2.8209,2.8161,2.8191,306118.0
2025-02-15 03:14:00,2.8192,2.8214,2.8181,2.8193,68427.0
2025-02-15 03:15:00,2.8192,2.8192,2.8156,2.8171,140326.0
2025-02-15 03:16:00,2.8171,2.8182,2.8117,2.8117,130976.0
2025-02-15 03:17:00,2.8117,2.8128,2.8094,2.8103,177658.0
2025-02-15 03:18:00,2.8103,2.8103,2.8065,2.8065,166608.0
2025-02-15 03:19:00,2.8064,2.8113,2.806,2.8108,111089.0
2025-02-15 03:20:00,2.8108,2.815,2.8108,2.813,87003.0
2025-02-15 03:21:00,2.813,2.8148,2.8124,2.8141,39239.0
2025-02-15 03:22:00,2.8141,2.8146,2.8122,2.8122,61759.0
2025-02-15 03:23:00,2.8123,2.8146,2.8122,2.8142,90059.0
2025-02-15 03:24:00,2.8141,2.8147,2.8128,2.8131,70027.0
2025-02-15 03:25:00,2.813,2.813,2.8094,2.8126,161279.0
2025-02-15 03:26:00,2.8125,2.8125,2.8101,2.8112,60241.0
