timestamp,open,high,low,close,volume
2025-06-13 03:00:00,103641.2,103730.28,103605.12,103654.6,102.03058
2025-06-13 03:05:00,103654.6,103935.52,103654.59,103924.8,69.17643
2025-06-13 03:10:00,103924.8,104084.22,103896.61,103986.52,128.30841
2025-06-13 03:15:00,103986.52,104234.71,103955.42,104234.7,95.32021
2025-06-13 03:20:00,104234.71,104339.62,104103.24,104192.16,121.282
2025-06-13 03:25:00,104192.16,104285.23,104076.15,104090.51,79.11513
2025-06-13 03:30:00,104090.52,104257.9,104014.82,104257.9,79.37458
2025-06-13 03:35:00,104257.9,104275.77,104150.0,104186.01,58.71923
2025-06-13 03:40:00,104186.01,104236.47,104157.38,104157.39,48.7091
2025-06-13 03:45:00,104157.38,104203.33,103960.47,104008.2,95.93413
2025-06-13 03:50:00,104008.19,104590.0,104008.19,104480.74,265.61389
2025-06-13 03:55:00,104480.74,104590.0,104272.0,104277.22,148.7038
2025-06-13 04:00:00,104277.22,104291.02,104000.0,104030.0,70.87099
2025-06-13 04:05:00,104029.99,104057.99,103837.77,103951.39,70.95445
2025-06-13 04:10:00,103951.39,104078.0,103912.15,103997.41,64.83403
2025-06-13 04:15:00,103997.42,104073.25,103850.0,103927.19,69.7635
2025-06-13 04:20:00,103927.19,103936.5,103782.75,103854.13,66.07601
2025-06-13 04:25:00,103854.13,104077.98,103854.13,104070.74,42.06346
2025-06-13 04:30:00,104070.75,104218.35,104062.8,104205.38,48.05131
2025-06-13 04:35:00,104205.38,104237.63,104153.17,104171.7,48.42067
2025-06-13 04:40:00,104171.85,104488.37,104171.85,104487.99,96.03198
2025-06-13 04:45:00,104487.99,104487.99,104273.85,104423.7,43.63695
2025-06-13 04:50:00,104423.7,104506.36,104414.0,104470.4,36.61223
2025-06-13 04:55:00,104470.41,104493.16,104331.64,104404.52,43.02202
2025-06-13 05:00:00,104404.52,104404.52,104237.72,104363.33,70.56709
2025-06-13 05:05:00,104363.33,104450.0,104344.73,104400.0,54.60867
2025-06-13 05:10:00,104400.01,104431.58,104284.86,104295.06,39.22369
2025-06-13 05:15:00,104295.06,104371.64,104257.89,104307.2,27.34165
